period_date,store_id,region,store_tier,anomaly_profile,beginning_inv_cost,beginning_inv_retail,purchases_cost,purchases_retail,net_sales,promo_markdowns,shrinkage,ending_inv_retail,cost_to_retail_ratio,ending_inv_cost,cogs,gross_margin,gross_margin_pct,markdown_pct_sales,shrink_pct_sales,imu_pct,gmroi_monthly
2026-09-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,502759.81,1297722.43,353649.24,902145.77,707351.12,45888.2,9222.43,1437406.45,0.3893,559582.57,296826.48,410524.64,0.5804,0.0649,0.013,0.608,0.7729
2026-10-01,STORE_101,NorthEast,Flagship Tier 1,High-Turn Flagship,559582.57,1437406.45,534028.06,1390347.32,752246.18,67370.69,8113.99,2000022.91,0.386742,773492.49,320118.14,432128.04,0.5745,0.0896,0.0108,0.6159,0.6483
2024-11-01,STORE_102,Central,Flagship Tier 1,Normal,883014.36,2104703.45,410109.64,1011064.24,828472.3,113655.44,22200.52,2151439.43,0.415026,892902.89,400221.11,428251.19,0.5169,0.1372,0.0268,0.5944,0.4823
2024-12-01,STORE_102,Central,Flagship Tier 1,Normal,892902.89,2151439.43,188344.91,478403.43,797339.05,115731.26,21894.7,1694877.85,0.411145,696841.24,384406.56,412932.49,0.5179,0.1451,0.0275,0.6063,0.5195
2025-01-01,STORE_102,Central,Flagship Tier 1,Normal,696841.24,1694877.85,113229.32,261068.39,435113.99,78786.18,5981.21,1436064.86,0.414158,594757.59,215312.97,219801.02,0.5052,0.1811,0.0137,0.5663,0.3404
2025-02-01,STORE_102,Central,Flagship Tier 1,Normal,594757.59,1436064.86,353388.94,841025.27,430206.92,99835.68,9313.86,1737733.67,0.416385,723566.51,224580.02,205626.9,0.478,0.2321,0.0216,0.5798,0.312
2025-03-01,STORE_102,Central,Flagship Tier 1,Normal,723566.51,1737733.67,304285.15,774577.44,621293.37,91475.39,9919.22,1789623.13,0.409126,732181.26,295670.4,325622.97,0.5241,0.1472,0.016,0.6072,0.4474
2025-04-01,STORE_102,Central,Flagship Tier 1,Normal,732181.26,1789623.13,196572.22,446827.18,618200.76,96232.85,8864.24,1513152.46,0.41528,628382.22,300371.26,317829.5,0.5141,0.1557,0.0143,0.5601,0.4672
2025-05-01,STORE_102,Central,Flagship Tier 1,Normal,628382.22,1513152.46,242227.77,542962.67,580764.64,79613.08,8396.59,1387340.82,0.423425,587434.41,283175.58,297589.06,0.5124,0.1371,0.0145,0.5539,0.4895
2025-06-01,STORE_102,Central,Flagship Tier 1,Normal,587434.41,1387340.82,323017.77,778950.77,531174.39,82580.95,12159.34,1540376.91,0.420281,647391.85,263060.33,268114.06,0.5048,0.1555,0.0229,0.5853,0.4343
2025-07-01,STORE_102,Central,Flagship Tier 1,Normal,647391.85,1540376.91,275661.91,672323.64,581942.79,106267.7,8673.26,1515816.8,0.417162,632340.6,290713.16,291229.63,0.5004,0.1826,0.0149,0.59,0.4551
2025-08-01,STORE_102,Central,Flagship Tier 1,Normal,632340.6,1515816.8,288638.5,646645.69,566286.33,80648.71,11540.94,1503986.51,0.425894,640538.34,280440.76,285845.57,0.5048,0.1424,0.0204,0.5536,0.4491
2025-09-01,STORE_102,Central,Flagship Tier 1,Normal,640538.34,1503986.51,298449.08,754733.13,543445.58,92719.69,14370.03,1608184.34,0.415717,668549.05,270438.37,273007.21,0.5024,0.1706,0.0264,0.6046,0.4171
2025-10-01,STORE_102,Central,Flagship Tier 1,Normal,668549.05,1608184.34,516442.33,1236679.42,556014.5,71210.52,11441.16,2206197.58,0.416537,918963.2,266028.18,289986.32,0.5215,0.1281,0.0206,0.5824,0.3653
2025-11-01,STORE_102,Central,Flagship Tier 1,Normal,918963.2,2206197.58,390917.68,901313.25,780599.04,106151.95,11112.84,2209647.0,0.421521,931412.48,378468.4,402130.64,0.5152,0.136,0.0142,0.5663,0.4346
2025-12-01,STORE_102,Central,Flagship Tier 1,Normal,931412.48,2209647.0,192205.39,501083.01,835138.35,116626.85,15092.14,1743872.67,0.414507,722848.27,400769.6,434368.75,0.5201,0.1396,0.0181,0.6164,0.5252
2026-01-01,STORE_102,Central,Flagship Tier 1,Normal,722848.27,1743872.67,112547.74,285877.23,476462.05,95150.27,9799.37,1448338.21,0.411576,596101.01,239295.0,237167.05,0.4978,0.1997,0.0206,0.6063,0.3596
2026-02-01,STORE_102,Central,Flagship Tier 1,Normal,596101.01,1448338.21,340425.77,873447.24,445300.61,87853.06,10579.58,1778052.2,0.403365,717203.87,219322.91,225977.7,0.5075,0.1973,0.0238,0.6103,0.3441
2026-03-01,STORE_102,Central,Flagship Tier 1,Normal,717203.87,1778052.2,350525.12,795957.96,664003.39,83469.04,15678.08,1810859.65,0.414811,751165.39,316563.6,347439.79,0.5233,0.1257,0.0236,0.5596,0.4732
2026-04-01,STORE_102,Central,Flagship Tier 1,Normal,751165.39,1810859.65,245748.17,568515.17,654060.72,101785.53,16038.87,1607489.7,0.418981,673508.13,323405.43,330655.29,0.5055,0.1556,0.0245,0.5677,0.4642
2026-05-01,STORE_102,Central,Flagship Tier 1,Normal,673508.13,1607489.7,232052.6,555973.03,547358.8,85918.88,8068.43,1522116.62,0.41857,637112.45,268448.28,278910.52,0.5096,0.157,0.0147,0.5826,0.4256
2026-06-01,STORE_102,Central,Flagship Tier 1,Normal,637112.45,1522116.62,351198.9,795253.77,556814.16,93519.55,11066.38,1655970.3,0.42648,706237.66,282073.69,274740.47,0.4934,0.168,0.0199,0.5584,0.409
2026-07-01,STORE_102,Central,Flagship Tier 1,Normal,706237.66,1655970.3,303447.95,711241.65,594819.27,130546.05,11121.77,1630724.86,0.426529,695552.18,314133.43,280685.84,0.4719,0.2195,0.0187,0.5734,0.4005
2026-08-01,STORE_102,Central,Flagship Tier 1,Normal,695552.18,1630724.86,216220.26,491795.1,599784.32,81709.88,10692.4,1430333.36,0.429571,614429.34,297343.1,302441.22,0.5042,0.1362,0.0178,0.5603,0.4617
2026-09-01,STORE_102,Central,Flagship Tier 1,Normal,614429.34,1430333.36,313774.49,793604.54,555733.05,79469.38,13156.96,1575578.51,0.417369,657598.4,270605.43,285127.62,0.5131,0.143,0.0237,0.6046,0.4483
2026-10-01,STORE_102,Central,Flagship Tier 1,Normal,657598.4,1575578.51,476941.48,1221477.89,553883.78,99254.81,13007.5,2130910.31,0.405619,864338.21,270201.67,283682.11,0.5122,0.1792,0.0235,0.6095,0.3728
2024-11-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,840424.36,2134911.79,477289.57,1250568.51,1028777.7,62232.93,13092.13,2281377.54,0.389225,887969.42,429744.51,599033.19,0.5823,0.0605,0.0127,0.6183,0.6932
2024-12-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,887969.42,2281377.54,239313.79,655956.15,1093260.25,105759.46,16057.55,1722256.43,0.383778,660963.64,466319.57,626940.68,0.5735,0.0967,0.0147,0.6352,0.8095
2025-01-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,660963.64,1722256.43,139339.88,351528.95,585881.59,54599.82,9370.96,1423933.01,0.385914,549516.17,250787.35,335094.24,0.5719,0.0932,0.016,0.6036,0.5537
2025-02-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,549516.17,1423933.01,365362.2,1004917.1,605242.7,58844.63,6571.8,1758190.98,0.376671,662260.26,252618.11,352624.59,0.5826,0.0972,0.0109,0.6364,0.582
2025-03-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,662260.26,1758190.98,396015.7,1014234.1,857787.34,51653.55,8843.74,1854140.45,0.381715,707753.04,350522.92,507264.42,0.5914,0.0602,0.0103,0.6095,0.7405
2025-04-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,707753.04,1854140.45,249696.46,681335.75,854522.35,78649.0,13302.16,1589002.69,0.377621,600041.06,357408.44,497113.91,0.5817,0.092,0.0156,0.6335,0.7602
2025-05-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,600041.06,1589002.69,266479.17,728175.17,688402.29,44744.05,8967.94,1575063.58,0.373955,589002.89,277517.34,410884.95,0.5969,0.065,0.013,0.634,0.6911
2025-06-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,589002.89,1575063.58,322091.71,857680.16,680543.95,46087.57,7911.02,1698201.2,0.374513,635998.74,275095.86,405448.09,0.5958,0.0677,0.0116,0.6245,0.662
2025-07-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,635998.74,1698201.2,266354.7,672050.86,725533.61,66219.83,11104.2,1567394.42,0.380699,596706.05,305647.39,419886.22,0.5787,0.0913,0.0153,0.6037,0.6812
2025-08-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,596706.05,1567394.42,308931.19,783701.86,730394.19,57220.85,10740.07,1552741.17,0.385198,598112.57,307524.67,422869.52,0.579,0.0783,0.0147,0.6058,0.7078
2025-09-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,598112.57,1552741.17,347069.36,880747.12,749422.31,62292.5,10640.79,1611132.69,0.388406,625773.92,319408.01,430014.3,0.5738,0.0831,0.0142,0.6059,0.7027
2025-10-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,625773.92,1611132.69,478019.53,1232606.92,738534.94,58319.7,7913.63,2038971.34,0.388149,791423.8,312369.65,426165.29,0.577,0.079,0.0107,0.6122,0.6014
2025-11-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,791423.8,2038971.34,482807.28,1282466.5,1036950.82,88540.22,12931.67,2183015.13,0.383638,837488.42,436742.66,600208.16,0.5788,0.0854,0.0125,0.6235,0.7369
2025-12-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,837488.42,2183015.13,238603.81,632282.29,1053803.82,80864.69,13535.9,1667093.01,0.38223,637213.61,438878.62,614925.2,0.5835,0.0767,0.0128,0.6226,0.834
2026-01-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,637213.61,1667093.01,134507.01,351428.8,585714.66,64178.51,6968.41,1361660.23,0.38232,520589.51,251131.11,334583.55,0.5712,0.1096,0.0119,0.6173,0.578
2026-02-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,520589.51,1361660.23,472520.84,1243951.61,631953.71,66596.66,9112.92,1897948.55,0.381143,723389.54,269720.81,362232.9,0.5732,0.1054,0.0144,0.6201,0.5824
2026-03-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,723389.54,1897948.55,293248.99,738443.64,840244.23,60983.27,12624.08,1722540.61,0.385617,664241.52,352397.01,487847.22,0.5806,0.0726,0.015,0.6029,0.7031
2026-04-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,664241.52,1722540.61,254905.68,688390.44,880261.27,62696.13,10567.34,1457406.31,0.381242,555623.91,363523.29,516737.98,0.587,0.0712,0.012,0.6297,0.8472
2026-05-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,555623.91,1457406.31,305581.4,773206.67,662435.66,62442.46,8103.95,1497630.91,0.386085,578212.22,282993.09,379442.57,0.5728,0.0943,0.0122,0.6048,0.6693
2026-06-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,578212.22,1497630.91,337976.09,909066.34,711637.88,71034.68,10413.13,1613611.56,0.380683,614274.21,301914.1,409723.78,0.5757,0.0998,0.0146,0.6282,0.6872
2026-07-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,614274.21,1613611.56,306099.0,778157.66,764546.92,69055.28,8604.48,1549562.54,0.384809,596284.89,324088.32,440458.6,0.5761,0.0903,0.0113,0.6066,0.7277
2026-08-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,596284.89,1549562.54,334863.72,876445.58,818440.29,67307.53,12304.77,1527955.53,0.383819,586458.74,344689.87,473750.42,0.5788,0.0822,0.015,0.6179,0.8011
2026-09-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,586458.74,1527955.53,303324.04,772282.75,754598.04,68074.71,9509.95,1468055.58,0.386822,567876.2,321906.58,432691.46,0.5734,0.0902,0.0126,0.6072,0.7497
2026-10-01,STORE_103,SouthEast,Flagship Tier 1,High-Turn Flagship,567876.2,1468055.58,582835.22,1532694.33,764311.12,52977.53,8982.46,2174478.8,0.383475,833857.42,316854.0,447457.12,0.5854,0.0693,0.0118,0.6197,0.6384
2024-11-01,STORE_104,West,Flagship Tier 1,Normal,878609.39,2144274.48,475172.13,1119797.87,880178.6,139903.46,20000.52,2223989.77,0.414752,922404.87,431376.65,448801.95,0.5099,0.1589,0.0227,0.5757,0.4984
2024-12-01,STORE_104,West,Flagship Tier 1,Normal,922404.87,2223989.77,226321.71,545794.64,909657.74,155250.13,17939.51,1686937.03,0.414735,699631.86,449094.72,460563.02,0.5063,0.1707,0.0197,0.5853,0.5679
2025-01-01,STORE_104,West,Flagship Tier 1,Normal,699631.86,1686937.03,126846.54,286560.79,477601.31,110333.76,8333.88,1377228.87,0.418789,576767.76,249710.64,227890.67,0.4772,0.231,0.0174,0.5573,0.3571
2025-02-01,STORE_104,West,Flagship Tier 1,Normal,576767.76,1377228.87,425010.34,948128.5,481191.06,104827.44,7140.93,1732197.94,0.430806,746241.41,255536.69,225654.37,0.4689,0.2178,0.0148,0.5517,0.3411
2025-03-01,STORE_104,West,Flagship Tier 1,Normal,746241.41,1732197.94,334647.08,834973.51,727873.89,100775.67,15704.34,1722817.55,0.421043,725379.55,355508.94,372364.95,0.5116,0.1385,0.0216,0.5992,0.5061
2025-04-01,STORE_104,West,Flagship Tier 1,Normal,725379.55,1722817.55,279675.79,699974.7,676432.68,106349.74,13285.2,1626724.63,0.414833,674819.84,330235.5,346197.18,0.5118,0.1572,0.0196,0.6004,0.4945
2025-05-01,STORE_104,West,Flagship Tier 1,Normal,674819.84,1626724.63,268826.59,653629.66,615262.32,105830.09,8506.41,1550755.47,0.413816,641726.98,301919.45,313342.87,0.5093,0.172,0.0138,0.5887,0.476
2025-06-01,STORE_104,West,Flagship Tier 1,Normal,641726.98,1550755.47,374312.56,879193.23,635218.42,113751.54,10552.03,1670426.71,0.418132,698459.02,317580.52,317637.9,0.5,0.1791,0.0166,0.5743,0.474
2025-07-01,STORE_104,West,Flagship Tier 1,Normal,698459.02,1670426.71,272308.36,713697.68,591337.51,134021.08,11729.3,1647036.5,0.40718,670640.05,300127.33,291210.18,0.4925,0.2266,0.0198,0.6185,0.4254
2025-08-01,STORE_104,West,Flagship Tier 1,Normal,670640.05,1647036.5,271706.53,692388.49,614470.48,76863.59,12834.68,1635256.24,0.402811,658699.52,283647.06,330823.42,0.5384,0.1251,0.0209,0.6076,0.4977
2025-09-01,STORE_104,West,Flagship Tier 1,Normal,658699.52,1635256.24,226814.07,572994.97,547234.4,67267.1,7523.66,1586226.05,0.401002,636080.13,249433.46,297800.94,0.5442,0.1229,0.0137,0.6042,0.46
2025-10-01,STORE_104,West,Flagship Tier 1,Normal,636080.13,1586226.05,488741.48,1253404.31,592347.07,99545.28,7572.22,2140165.79,0.396116,847752.85,277068.76,315278.31,0.5323,0.1681,0.0128,0.6101,0.425
2025-11-01,STORE_104,West,Flagship Tier 1,Normal,847752.85,2140165.79,467405.86,1159853.15,814917.78,130906.15,10165.05,2344029.96,0.398531,934167.8,380990.91,433926.87,0.5325,0.1606,0.0125,0.597,0.487
2025-12-01,STORE_104,West,Flagship Tier 1,Normal,934167.8,2344029.96,204075.58,483346.09,805576.82,113491.18,20665.88,1887642.17,0.402579,759925.87,378317.51,427259.31,0.5304,0.1409,0.0257,0.5778,0.5044
2026-01-01,STORE_104,West,Flagship Tier 1,Normal,759925.87,1887642.17,111139.15,282451.98,470753.3,90034.21,6287.84,1603018.8,0.401395,643443.79,227621.23,243132.07,0.5165,0.1913,0.0134,0.6065,0.3465
2026-02-01,STORE_104,West,Flagship Tier 1,Normal,643443.79,1603018.8,358195.32,893392.55,493314.87,100871.31,6999.71,1895225.46,0.401232,760424.34,241214.77,252100.1,0.511,0.2045,0.0142,0.5991,0.3592
2026-03-01,STORE_104,West,Flagship Tier 1,Normal,760424.34,1895225.46,311930.88,700498.65,709631.29,124127.23,14157.62,1747807.97,0.413124,722060.94,350294.28,359337.01,0.5064,0.1749,0.02,0.5547,0.4848
2026-04-01,STORE_104,West,Flagship Tier 1,Normal,722060.94,1747807.97,219118.48,572327.07,701033.76,103189.92,15529.75,1500381.61,0.405657,608640.56,332538.86,368494.9,0.5256,0.1472,0.0222,0.6171,0.5538
2026-05-01,STORE_104,West,Flagship Tier 1,Normal,608640.56,1500381.61,256459.83,663775.25,594086.56,81432.9,15655.34,1472982.06,0.39974,588810.07,276290.32,317796.24,0.5349,0.1371,0.0264,0.6136,0.5308
2026-06-01,STORE_104,West,Flagship Tier 1,Normal,588810.07,1472982.06,311164.79,727997.65,553804.29,86085.93,12435.69,1548653.8,0.408897,633240.5,266734.36,287069.93,0.5184,0.1554,0.0225,0.5726,0.4698
2026-07-01,STORE_104,West,Flagship Tier 1,Normal,633240.5,1548653.8,372104.97,893061.96,660144.08,141065.77,16286.8,1624219.11,0.411737,668751.6,336593.87,323550.21,0.4901,0.2137,0.0247,0.5833,0.497
2026-08-01,STORE_104,West,Flagship Tier 1,Normal,668751.6,1624219.11,268442.86,653705.43,636139.4,107430.14,16820.08,1517534.92,0.411425,624351.38,312843.08,323296.32,0.5082,0.1689,0.0264,0.5894,0.5
2026-09-01,STORE_104,West,Flagship Tier 1,Normal,624351.38,1517534.92,237180.11,619567.23,571512.78,101341.2,11546.68,1452701.49,0.403131,585628.57,275902.92,295609.86,0.5172,0.1773,0.0202,0.6172,0.4886
2026-10-01,STORE_104,West,Flagship Tier 1,Normal,585628.57,1452701.49,581676.22,1358675.32,565939.35,76268.25,7384.65,2161784.56,0.415208,897589.2,269715.59,296223.76,0.5234,0.1348,0.013,0.5719,0.3994
2024-11-01,STORE_105,NorthEast,Flagship Tier 1,High-Turn Flagship,628154.34,1596942.96,380244.53,991936.34,856967.49,75351.09,9634.13,1646926.59,0.389512,641497.23,366901.64,490065.85,0.5719,0.0879,0.0112,0.6167,0.772
2024-12-01,STORE_105,NorthEast,Flagship Tier 1,High-Turn Flagship,641497.23,1646926.59,199750.11,516582.33,860970.55,81370.83,8616.08,1212551.46,0.388835,471482.08,369765.26,491205.29,0.5705,0.0945,0.01,0.6133,0.8827
2025-01-01,STORE_105,NorthEast,Flagship Tier 1,High-Turn Flagship,471482.08,1212551.46,107173.5,281438.97,469064.95,54053.22,5423.37,965448.89,0.387322,373939.74,204715.84,264349.11,0.5636,0.1152,0.0116,0.6192,0.6254
2025-02-01,STORE_105,NorthEast,Flagship Tier 1,High-Turn Flagship,373939.74,965448.89,334944.16,901507.91,499835.91,49944.64,7788.6,1309387.65,0.3797,497174.77,211709.13,288126.78,0.5764,0.0999,0.0156,0.6285,0.6615
2025-03-01,STORE_105,NorthEast,Flagship Tier 1,High-Turn Flagship,497174.77,1309387.65,286042.98,717351.59,698713.59,45785.45,10839.1,1271401.1,0.386442,491323.15,291894.6,406818.99,0.5822,0.0655,0.0155,0.6013,0.8231
2025-04-01,STORE_105,NorthEast,Flagship Tier 1,High-Turn Flagship,491323.15,1271401.1,245360.5,613692.22,642650.39,44770.6,8621.33,1189051.0,0.390794,464674.31,272009.34,370641.05,0.5767,0.0697,0.0134,0.6002,0.7754
2025-05-01,STORE_105,NorthEast,Flagship Tier 1,High-Turn Flagship,464674.31,1189051.0,236064.15,649870.02,642498.15,42732.38,9404.65,1144285.84,0.38106,436041.07,264697.39,377800.76,0.588,0.0665,0.0146,0.6368,0.8389
2025-06-01,STORE_105,NorthEast,Flagship Tier 1,High-Turn Flagship,436041.07,1144285.84,275819.38,749445.13,626807.09,62295.84,7627.75,1197000.29,0.375904,449956.82,261903.63,364903.46,0.5822,0.0994,0.0122,0.632,0.8237
2025-07-01,STORE_105,NorthEast,Flagship Tier 1,High-Turn Flagship,449956.82,1197000.29,247601.47,641220.59,650027.16,66576.29,7739.1,1113878.33,0.379475,422688.63,274869.66,375157.5,0.5771,0.1024,0.0119,0.6139,0.8598
2025-08-01,STORE_105,NorthEast,Flagship Tier 1,High-Turn Flagship,422688.63,1113878.33,250054.74,686210.95,597231.62,53157.99,8509.68,1141189.99,0.373728,426494.4,246248.97,350982.65,0.5877,0.089,0.0142,0.6356,0.8266
2025-09-01,STORE_105,NorthEast,Flagship Tier 1,High-Turn Flagship,426494.4,1141189.99,222427.23,617289.25,598978.02,39382.05,8480.67,1111638.5,0.369024,410221.66,238699.97,360278.05,0.6015,0.0657,0.0142,0.6397,0.8612
2025-10-01,STORE_105,NorthEast,Flagship Tier 1,High-Turn Flagship,410221.66,1111638.5,416921.41,1142924.34,569428.66,56785.35,7691.75,1620657.08,0.366875,594578.8,232564.27,336864.39,0.5916,0.0997,0.0135,0.6352,0.6705
2025-11-01,STORE_105,NorthEast,Flagship Tier 1,High-Turn Flagship,594578.8,1620657.08,349659.64,936282.8,817652.32,57994.02,8424.37,1672869.17,0.369285,617764.77,326473.67,491178.65,0.6007,0.0709,0.0103,0.6265,0.8103
2025-12-01,STORE_105,NorthEast,Flagship Tier 1,High-Turn Flagship,617764.77,1672869.17,204011.84,543207.07,905345.11,75893.77,10309.78,1224527.58,0.370825,454085.52,367691.09,537654.02,0.5939,0.0838,0.0114,0.6244,1.0032
2026-01-01,STORE_105,NorthEast,Flagship Tier 1,High-Turn Flagship,454085.52,1224527.58,104177.25,288849.03,481415.05,53113.86,6910.53,971937.17,0.368886,358533.58,199729.19,281685.86,0.5851,0.1103,0.0144,0.6393,0.6933
2026-02-01,STORE_105,NorthEast,Flagship Tier 1,High-Turn Flagship,358533.58,971937.17,350166.94,883730.79,476468.44,43060.4,7040.38,1329098.74,0.381911,507597.8,201102.72,275365.72,0.5779,0.0904,0.0148,0.6038,0.6359
